"id","name","status","load_type","primary_region","strength_focus","lift_role","movement_pattern","tags","unilateral","cns_load","fatigue_cost","progression_level","default_sets","default_reps","default_duration_sec","intensity","age_min","age_max","equipment","space","step_by_step","coaching_cues","video_url","session_type","signal","inspired_by","difficulty","coach_preference","program_day_type"
"LS_062","Hex Bar Hold to Explode","active","loaded","full","power","primary","squat","hex_bar, contrast","FALSE","high","high","advanced","4","3-5","30","max","15","99","Hex Bar","6x6 ft","Half squat hold then explode upward","Hold tension before jump","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/53b5cd198f39612b61a38268769b169d/manifest/video.m3u8","strength","power","Jack Hughes","5","1","heavy_explosive"
"LS_063","Hang Snatch","active","loaded","full","power","primary","power","olympic_lift, explosive","FALSE","high","high","advanced","4","3-4","30","max","15","99","Barbell","6x6 ft","Snatch from hang position overhead","Bar close, aggressive hips","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/099ad393405ef723a85a4b49479e514d/manifest/video.m3u8","strength","power","Jack Hughes","4","1","heavy_explosive"
"LS_064","Barbell Reverse Lunge to Box Step","active","loaded","lower","strength","primary","lunge","unilateral, transition","TRUE","medium","high","development","3","","45","moderate","14","99","Barbell + Box","6x6 ft","Reverse lunge then drive onto box","Explode off front leg","","strength","strength","Jack Hughes","4","1","heavy_lower"
"LS_066","Single Arm Dumbbell Snatch","active","loaded","full","power","primary","power","unilateral, explosive","TRUE","high","high","development","4","","30","high","14","99","Dumbbell","6x6 ft","Explode dumbbell from shoulder to overhead","Hips drive first","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/2d6d43e69a1bdc48e09b446b288ab91e/manifest/video.m3u8","strength","power","Connor Bedard","3","1","heavy_explosive"
"LS_067","Barbell Wrist Curl Behind Back","active","loaded","upper","hypertrophy","auxiliary","pull","forearm, grip","FALSE","low","medium","foundation","3","12-15","45","low","12","99","Barbell","4x4 ft","Hold barbell behind back and curl wrists","Full wrist range","","strength","strength","","1","0","upper_core_stability"
"LS_068","Seated Dumbbell Wrist Curl","active","loaded","upper","hypertrophy","auxiliary","pull","forearm, grip","FALSE","low","medium","foundation","3","12-15","45","low","10","99","Dumbbells + Bench","4x4 ft","Forearm on thigh, curl wrist upward","Squeeze top slowly lower","","strength","strength","","1","0","upper_core_stability"
"LS_071","Loaded Cossack Squat","active","loaded","lower","strength","auxiliary","squat","frontal_plane, adductors, lateral_strength","TRUE","medium","medium","intermediate","3","","45","moderate","14","99","Kettlebell or dumbbell","6 ft lane","Squat to one side holding load, other leg stays long","Sit into hip, keep chest tall","","strength","recovery","self","4","1","heavy_lower"
"LS_072","Copenhagen Plank (Loaded)","active","loaded","core","stability","accessory","anti_rotation","adductors, groin_strength, lateral_core","FALSE","medium","medium","intermediate","3","","45","moderate","14","99","Plate or DB on hip + bench","Floor","Side plank with top leg supported; add load on top hip","Hips stacked, drive top leg down","","strength","neutral","self","4","1","heavy_lower"
"LS_073","Heavy Sled Push","active","loaded","full","conditioning","conditioning","sprint","sled_push, acceleration, legs","FALSE","high","high","advanced","6","","0","high","14","99","Sled","20-30m lane","Drive sled with forward lean and powerful steps","Short powerful steps, keep hips under you","","strength","conditioning","self","4","1","heavy_lower"
"LS_081","Offset Front Rack Carry","active","loaded","full","stability","accessory","carry","offset_load, anti_rotation, trunk_stiffness","TRUE","medium","medium","advanced","3","","60","moderate","15","99","Dumbbell or kettlebell","20 ft lane","Carry one weight in front rack position while other side unloaded","Ribs down, no leaning, crush handle","","strength","neutral","self","3","1","upper_core_stability"
"LS_082","Split-Stance Anti-Rotation Cable Press","active","loaded","core","stability","accessory","push","anti_rotation, split_stance, unilateral_press","TRUE","medium","medium","advanced","3","","45","moderate","15","99","Cable machine","Open area","Press cable forward from athletic split stance resisting rotation","Hips square, brace before pressing","","strength","neutral","self","3","1","upper_core_stability"
"LS_083","Tall-Kneeling Anti-Extension Cable Hold","active","loaded","core","stability","accessory","anti_rotation","anti_extension, trunk_control, isometric","FALSE","medium","medium","advanced","3","","60","moderate","15","99","Cable machine","Floor","Kneel tall holding cable resisting forward pull","Glutes tight, ribs down, no arching","","strength","neutral","self","3","1","upper_core_stability"
"LS_084","Tempo Chest-Supported Row","active","loaded","upper","stability","auxiliary","pull","scap_control, tempo, posture","FALSE","medium","medium","advanced","3","6-8","45","moderate","15","99","Dumbbells + incline bench","Bench area","Row dumbbells with 3-second controlled lowering phase","Pause at top, control eccentric","","strength","neutral","self","2","1","upper_core_stability"
"LS_085","Half-Kneeling Anti-Rotation Hold","active","loaded","core","stability","accessory","anti_rotation","isometric, trunk_stability, unilateral","FALSE","medium","medium","advanced","3","","60","moderate","15","99","Cable machine","Open area","Hold cable handle at chest height resisting rotation","Hips square, brace hard, no movement","","strength","neutral","self","2","1","upper_core_stability"
"LS_086","Split-Stance Cable Rotation (Tempo)","active","loaded","core","stability","accessory","rotation","controlled_rotation, split_stance, tempo","FALSE","medium","medium","advanced","3","","45","moderate","15","99","Cable machine","Open area","Rotate cable across body with 2-sec rotate and 2-sec return","Rotate through hips, control torso","","strength","neutral","self","2","1","upper_core_stability"
"LS_087","Anti-Rotation to Rotation Press","active","loaded","core","stability","accessory","rotation","anti_rotation, transition, core_control","FALSE","medium","medium","advanced","3","","45","moderate","15","99","Cable machine","Open area","Press cable forward resisting rotation then rotate under control","Stabilize first, rotate second","","strength","neutral","self","3","1","upper_core_stability"
"LS_088","Bottoms-Up Kettlebell Press","active","loaded","upper","stability","auxiliary","push","bottoms_up, shoulder_stability, unilateral","TRUE","medium","medium","advanced","3","","45","moderate","15","99","Kettlebell","4x4 ft","Press kettlebell upside down from rack position","Grip tight, elbow under bell, no wobble","","strength","neutral","self","3","1","upper_core_stability"
"LS_089","Box Step-Up with High Knee","active","loaded","lower","power","primary","lunge","step_up, unilateral_power, acceleration","TRUE","medium","medium","intermediate","4","","30","moderate","12","99","Box","Box area","Step onto box and explosively drive opposite knee upward","Explode off lead leg, control landing","","strength","power","Jack Hughes","2","1","heavy_explosive"
"LS_115","Heavy Dumbbell Step-Up","active","loaded","lower","max_strength","primary","lunge","unilateral, heavy_strength, acceleration","TRUE","high","high","advanced","4","","90","high","15","99","Dumbbells + box","Box area","Perform heavy step-ups driving through full foot on box","Explode through lead leg, control descent","","strength","strength","self","4","1","heavy_leg"
"LS_116","Lateral Lunge","active","loaded","lower","max_strength","primary","lunge","frontal_plane, lateral_strength, adductors","FALSE","high","high","advanced","4","","90","high","15","99","Dumbbell or Kettlebell","6x6 ft","Step laterally under barbell and sit into hip before driving back to center","Hips back, chest tall, strong push through foot","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/7424a68630ddd8af4e857867af435326/manifest/video.m3u8","strength","strength","self","4","1","heavy_leg"
"LS_118","Lateral Sled Drag","active","loaded","lower","strength","primary","sled","frontal_plane, skating_specific, resisted_stride","FALSE","high","medium","advanced","4","","90","high","15","99","Sled + harness","20 ft lane","Attach sled and perform lateral drag steps maintaining low athletic posture","Drive through inside edge, stay low and powerful","","strength","strength","self","4","1","heavy_leg"
"SC_009","Isometric Face Pull","active","loaded","upper","stability","accessory","pull","scap_control, isometric, posterior_shoulder","FALSE","low","low","intermediate","3","","45","low","14","99","Cable or band","Machine area","Pull rope to face and hold isometrically","Elbows high, squeeze shoulder blades down and back","","strength","neutral","self","3","1","upper_core_stability"
"LS_091","Tempo Barbell Back Squat","active","barbell","lower_body","max_strength","primary","squat","tempo, slow_eccentric, explode_up","FALSE","high","high","intermediate","4","","0","high","14","99","Barbell + rack","Rack space","Lower under 3–4 second control, pause briefly, explode up","Stay braced, control depth, drive through midfoot","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/716532a315d6dad19dca3fa564fae563/manifest/video.m3u8","performance","","self","4","3","heavy_leg"
"LS_092","Tempo Front Squat","active","barbell","lower_body","max_strength","primary","squat","front_loaded, tempo, quad_dominant","FALSE","high","high","intermediate","4","","0","high","14","99","Barbell + rack","Rack space","Slow 3–4 second eccentric, explode up","Elbows high, torso upright, drive through quads","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/cb716933414caab8bf6440b7012f435e/manifest/video.m3u8","performance","","self","4","3","heavy_leg"
"LS_093","Barbell Deadlift","active","barbell","posterior_chain","max_strength","primary","hinge","posterior_chain, hip_drive","FALSE","high","high","intermediate","4","","0","high","14","99","Barbell","Floor space","Hinge to bar, brace, drive through floor to full hip lockout","Neutral spine, push floor away","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/45859409a7422d5a41e62e91ed863654/manifest/video.m3u8","performance","","self","4","3","heavy_leg"
"LS_094","Sumo Deadlift","active","barbell","posterior_chain","max_strength","primary","hinge","wide_stance, adductors, hip_drive","FALSE","high","high","intermediate","4","","0","high","14","99","Barbell","Floor space","Wide stance, grip inside knees, drive hips through","Chest tall, knees out, squeeze glutes","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/6103520e0b1f3f6aec6f950bf631c732/manifest/video.m3u8","performance","","self","4","3","heavy_leg"
"LS_095","Barbell Squat Jumps","active","barbell","lower_body","explosive_power","power","squat","explosive, jump_squat","FALSE","high","medium","advanced","4","","0","med-high","14","99","Barbell","Rack space","Light load squat, explode upward allowing slight foot lift","Minimal dip, max intent","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/bed82648a01181fef8f9bde9afc74a5b/manifest/video.m3u8","performance","","self","3","3","explosive"
"LS_096","Barbell Shoulder Press","active","barbell","upper_body","strength","primary","vertical_push","shoulder_strength, overhead","FALSE","moderate","medium","intermediate","4","","0","med-high","14","99","Barbell","Rack space","Press bar vertically overhead from shoulder level","Brace core, no excessive lean","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/af145e1e9713bc7174d1c6be7d105962/manifest/video.m3u8","performance","","self","3","2","upper_core"
"LS_097","Barbell Upright Row","active","barbell","upper_body","hypertrophy","accessory","vertical_pull","shoulders, traps","FALSE","moderate","medium","beginner","3","","0","medium","12","99","Barbell","Floor space","Close grip, pull bar to shoulder height","Lead with elbows, control down","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/dbed50ffb8a2a3451f0433a95dd2e328/manifest/video.m3u8","performance","","self","3","1","upper_core"
"LS_098","Barbell Reverse Lunge","active","barbell","lower_body","strength","primary","lunge","posterior_chain, unilateral","TRUE","moderate","medium","intermediate","3","","0","med-high","12","99","Barbell","Rack space","Step back into controlled lunge, drive through front heel","Torso tall, knee stable","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/9ec6341640a89d7a5dd21bd3dff83836/manifest/video.m3u8","performance","","self","1","2","heavy_leg"
"LS_099","Barbell Split Squat","active","barbell","lower_body","strength","primary","lunge","split_stance, unilateral","TRUE","moderate","medium","intermediate","3","","0","med-high","12","99","Barbell","Rack space","Rear foot stationary, descend under control, drive up","Front heel heavy, hips square","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/cfe3e824338a564e154053176ad3f0c1/manifest/video.m3u8","performance","","self","4","2","heavy_leg"
"LS_100","Barbell Hang Clean","active","barbell","full_body","explosive_power","power","hinge","triple_extension, hip_drive","FALSE","high","medium","advanced","4","","0","high","14","99","Barbell","Floor space","Start at hang, explode hips, catch in quarter squat","Fast elbows, violent hip snap","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/5ec97cceb672604e2fc681e93cb73544/manifest/video.m3u8","performance","","self","4","3","explosive"
"LS_101","Explosive Barbell Row","active","barbell","upper_body","explosive_power","power","horizontal_pull","explosive_row","FALSE","moderate","medium","advanced","4","","0","med-high","14","99","Barbell","Floor space","Explosively row bar to torso, lower under control","Drive elbows fast, brace trunk","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/98cd25c2cc40bd59acf7856a8b4aa886/manifest/video.m3u8","performance","","self","4","2","explosive"
"LS_102","Wide Grip Barbell Row","active","barbell","upper_body","strength","accessory","horizontal_pull","upper_back, wide_grip","FALSE","moderate","medium","intermediate","3","","0","medium","12","99","Barbell","Floor space","Wide grip row to upper chest","Control negative, squeeze shoulder blades","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/87b7ec782e6b63867d6c41da026c2313/manifest/video.m3u8","performance","","self","4","1","upper_core"
"LS_103","Overhead Barbell Squat","active","barbell","full_body","stability","primary","squat","overhead_stability, core","FALSE","high","high","advanced","4","","0","med-high","15","99","Barbell","Rack space","Wide grip, squat while maintaining overhead position","Chest tall, active shoulders","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/eea983b7cb4486bcec16a00c89ea53b5/manifest/video.m3u8","performance","","Erich Jaeger","4","3","upper_core"
"LS_104","Barbell Snatch","active","barbell","full_body","explosive_power","power","hinge","triple_extension, overhead","FALSE","high","high","advanced","4","","0","high","15","99","Barbell","Floor space","Explode from floor to overhead in one motion","Fast hips, strong catch","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/63c75fbe358d957fad6d5cc2aca628be/manifest/video.m3u8","performance","","self","4","3","explosive"
"LS_105","DB Sissy Squat","active","dumbbell","lower_body","hypertrophy","accessory","squat","quad_focus, heels_elevated","FALSE","low","medium","beginner","3","","0","medium","12","99","Dumbbells + plate","Floor space","Heels elevated, descend with knees forward, stand tall","Keep tension on quads","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/d267ff8350dd0590f90bd798abb5ea80/manifest/video.m3u8","performance","","Coach Auz","3","1","heavy_leg"
"LS_106","DB Half Sissy Squat","active","dumbbell","lower_body","hypertrophy","accessory","squat","quad_isometric","FALSE","low","medium","beginner","3","","0","medium","12","99","Dumbbells","Floor space","Half depth keeping constant quad tension","No lockout, constant control","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/a66c899d36c8ca8281e0daf3b0c79647/manifest/video.m3u8","performance","","Coach Auz","3","1","heavy_leg"
"LS_107","Medicine Ball Slam (Outside Knee)","active","med_ball","full_body","explosive_power","power","rotation","rotational_slam","FALSE","moderate","low","beginner","3","","0","high","10","99","Medicine ball","Open space","Alternate sides slamming ball outside knee","Rotate through hips","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/1a8159f85c9cb7d2064542fb4989f024/manifest/video.m3u8","performance","","self","4","2","explosive"
"LS_108","Medicine Ball Slam (Inside Knee)","active","med_ball","full_body","explosive_power","power","rotation","rotational_slam","FALSE","moderate","low","beginner","3","","0","high","10","99","Medicine ball","Open space","Alternate slams inside knee line","Explode down, brace core","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/692a87a92a6160c3fce150f6c7a66c47/manifest/video.m3u8","performance","","self","5","2","explosive"
"LS_109","Single-Leg Stability Ball Tuck","active","bodyweight","core","stability","accessory","anti_extension","core_control, hamstrings","TRUE","low","low","beginner","3","","0","medium","10","99","Stability ball","Floor space","Bridge position, tuck ball in under control","Hips level, slow control","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/4dd57ca22691a521b3b586a390bb65f4/manifest/video.m3u8","performance","","self","3","1","upper_core"
"LS_110","Dumbbell Hip Lift","active","dumbbell","posterior_chain","strength","accessory","hinge","glutes, hip_extension","FALSE","low","low","beginner","3","","0","medium","10","99","Dumbbell","Floor space","DB on hips, bridge up squeezing glutes","Squeeze hard at top","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/49736331551d756439c1d57089da17ff/manifest/video.m3u8","performance","","self","2","1","heavy_leg"
"LS_111","Kettlebell Swing","active","kettlebell","posterior_chain","explosive_power","power","hinge","hip_snap, elastic","FALSE","moderate","medium","beginner","4","","0","med-high","12","99","Kettlebell","Floor space","Hinge and snap hips to swing bell to chest height","Snap hips, don’t squat","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/19d2294a62f5a08f904672ecb505e582/manifest/video.m3u8","performance","","self","3","2","explosive"
"LS_112","Kettlebell Shoulder Press","active","kettlebell","upper_body","strength","accessory","vertical_push","shoulder_stability","FALSE","moderate","medium","beginner","3","","0","medium","12","99","Kettlebell","Floor space","Press kettlebell overhead maintaining core stability","Stay stacked, no lean","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/ce8e21c0e1d29f05d0f15120f531eb21/manifest/video.m3u8","performance","","self","3","1","upper_core"
"LS_113","Landmine Explosive Striders","active","barbell","full_body","explosive_power","power","lunge","projection, single_leg","TRUE","moderate","medium","advanced","4","","0","high","14","99","Landmine setup","Open space","Explosive single-leg stride from landmine position","Explode and land soft","","performance","","self","2","3","explosive"
"LS_114","TRX Explosive Split Squat","active","bodyweight","lower_body","explosive_power","power","lunge","split_squat_jump, unilateral","TRUE","moderate","medium","intermediate","3","","0","med-high","12","99","TRX straps","Open space","Slow controlled lunge back then explode upward","Drive through front leg","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/8a974e4534d98deab4caa8cbfa155ca5/manifest/video.m3u8","performance","","Erich Jaeger","1","2","explosive"
"LS_115","Barbell Reverse Grip Row","active","barbell","upper_body","strength","primary","horizontal_pull","reverse_grip, lat_focus, biceps_assist","FALSE","moderate","medium","intermediate","4","","0","med-high","14","99","Barbell","Floor space","Grip bar underhand at shoulder width, hinge at hips, row bar to lower ribs under control","Chest over bar, pull elbows tight to body, control negative","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/909228a703b49c83827b92b3e43ab3ae/manifest/video.m3u8","performance","","self","3","2","upper_core"
"LS_116","Battle Rope Slams","active","battle_rope","upper_body","power_endurance","accessory","full_body_power","explosive, trunk_stability, conditioning","FALSE","low","medium","beginner","3","","0","med-high","10","99","Battle ropes","Open floor space","Hold rope ends, raise arms overhead and slam ropes violently into floor repeatedly for reps","Brace core, move fast, slam through floor","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/b7c7fd07a7f8318c941700f012b1b703/manifest/video.m3u8","performance","","self","3","1","upper_core"
"LS_117","Landmine Reverse Lunge","active","landmine","lower_body","strength","accessory","lunge","unilateral, hip_stability, posterior_chain","TRUE","moderate","medium","intermediate","3","","0","med-high","12","99","Landmine setup","Open floor space","Hold barbell in landmine position at chest height, step back into reverse lunge then drive back to standing","Torso slightly forward, push through front heel, keep knee stable","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/9752133b3d9268e54f755cad910d7f9b/manifest/video.m3u8","performance","","self","4","2","heavy_leg"
"LS_118","Explosive Bulgarian Split Squat","active","dumbbell","lower_body","explosive_power","power","lunge","unilateral, explosive, skating_transfer","TRUE","moderate","medium","intermediate","3","","0","high","12","99","Dumbbells + bench","Open floor space","Rear foot elevated on bench, descend into split squat then explode upward off front leg allowing slight jump","Land soft, drive through front heel, keep torso tall","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/70bb1474bbea875ea589908203b747c8/manifest/video.m3u8","performance","","self","3","3","explosive"
"LS_119","Banded Skater Strides","active","bodyweight","full","power","primary","power","skating_specific, lateral_power, band_resisted, stickhandling","TRUE","medium","medium","advanced","4","","30","moderate","12","99","Resistance band + stick","6 ft lane","Attach band around waist and perform lateral skating strides; optional stickhandling during movement","Drive laterally, full extension, maintain athletic posture","","strength","power","Jack Hughes","2","1","heavy_explosive"
"LS_120","BOSU Banded Stride Work","active","bodyweight","lower","stability","accessory","power","skating_specific, balance, band_resisted","TRUE","medium","medium","advanced","3","","30","moderate","13","99","BOSU + band","6x6 ft","Stand on BOSU with band resistance and perform controlled stride outward","Return with balance, hips square","","strength","neutral","Jack Hughes","2","1","upper_core_stability"
"LS_121","BOSU Open Hip Rotation","active","bodyweight","lower","mobility","auxiliary","rotation","hip_mobility, skating_specific, balance","TRUE","low","low","intermediate","3","","30","low","12","99","BOSU + band","4x4 ft","Stand on BOSU, lift leg and open hip 90 degrees, rotate back under control","Control pelvis, smooth rotation","","strength","recovery","Jack Hughes","3","1","upper_core_stability"
"LS_122","Plyometric Bunny Jumps","active","bodyweight","lower","power","primary","power","reactive, elastic, multi_contact","FALSE","medium","medium","intermediate","4","8-15","30","moderate","10","99","Hurdles or cones","Plyo area","Perform repeated two-footed plyometric jumps over hurdles","Quick ground contact, minimal knee bend","","strength","power","Jack Hughes","3","1","heavy_explosive"
"LS_123","Lateral Skater to Single-Leg Vertical Jump","active","bodyweight","full","power","primary","power","lateral_to_vertical, single_leg, reactive","TRUE","high","medium","advanced","4","","30","high","13","99","None","6x6 ft","Perform lateral skater bound then immediately explode into vertical jump off landing leg","Stick lateral landing then explode up, minimal pause","","strength","power","self","3","1","heavy_explosive"
"LS_124","Single-Leg Box Jump (Soft Landing)","active","bodyweight","lower","power","primary","power","single_leg, vertical_power, landing_control","TRUE","high","medium","advanced","4","","30","high","13","99","Box","Plyo area","Jump onto box off one leg and land softly","Quiet landing, control knee position","","strength","power","self","3","1","heavy_explosive"
"LS_125","Lateral Two-Foot Jump to Box","active","bodyweight","full","power","primary","power","lateral_power, reactive, multi_direction","FALSE","high","medium","advanced","4","3-5","30","high","13","99","Box","Plyo area","Jump laterally off two feet then immediately jump onto box","Explode quickly after ground contact","","strength","power","self","3","1","heavy_explosive"
"LS_126","Broad Jump to Box Jump","active","bodyweight","full","power","primary","power","horizontal_to_vertical, reactive, elastic","FALSE","high","medium","advanced","4","3-5","30","high","13","99","Box","Plyo area","Perform broad jump then immediately jump onto box","Minimize ground contact between jumps","","strength","power","self","4","1","heavy_explosive"
"LS_127","Box Drop to Rebound Box Jump","active","bodyweight","full","power","primary","power","drop_jump, reactive, elastic_rebound","FALSE","high","high","advanced","4","3-4","45","high","14","99","Box","Plyo area","Start standing on box, drop down and rebound explosively back onto box","Quick ground contact, explode immediately","","strength","power","self","4","1","heavy_explosive"
"LS_128","Forward Small Hop to Lateral Box Jump","active","bodyweight","full","power","primary","power","multi_direction, reactive, skating_specific","FALSE","medium","medium","advanced","4","","30","high","13","99","Box","Plyo area","Perform small forward hop then explode laterally onto box","Stay reactive, fast transition","","strength","power","self","4","1","heavy_explosive"
"LS_129","Lateral Box Jump","active","bodyweight","lower","power","primary","power","lateral_power, single_leg_option","FALSE","high","medium","advanced","4","","30","high","12","99","Box","Plyo area","Jump laterally onto box from ground","Drive through hips, land softly","","strength","power","self","4","1","heavy_explosive"
"LS_130","Split-Squat Stance to Box Jump","active","bodyweight","full","power","primary","power","split_stance, vertical_power, skating_specific","TRUE","high","medium","advanced","4","","30","high","13","99","Box","Plyo area","Start in split squat stance and explode vertically onto box","Explode off front leg, controlled landing","","strength","power","self","4","1","heavy_explosive"
